200	3	14
1	0.03	0.01
1	4	1	13	4	5	2	2
2	0	1	16	3	6	2	4
3	0	2	20	4	5	1	2
4	0	2	9	8	4	3	3
5	3	2	18	8	2	1	3
6	1	2	2	8	2	0	1
7	1	3	20	4	6	1	4
8	3	3	8	5	7	1	3
9	1	3	15	3	3	3	4
10	4	4	19	8	7	3	3
11	2	5	15	3	4	1	4
12	2	6	5	3	5	0	4
13	0	7	18	3	7	3	3
14	4	7	10	2	2	1	3
15	0	8	19	5	5	0	4
16	4	9	3	3	3	2	2
17	2	9	18	6	6	0	4
18	3	9	7	3	7	2	1
19	2	9	12	2	4	0	2
20	0	10	15	7	4	1	4
21	2	10	9	3	2	2	2
22	2	11	1	8	2	2	1
23	0	12	21	2	2	0	1
24	3	12	11	2	7	0	4
25	2	12	8	3	6	2	4
26	2	13	13	3	6	3	1
27	1	14	21	5	5	0	1
28	1	14	3	6	3	0	2
29	4	15	19	4	6	1	1
30	1	15	9	2	3	1	1
31	3	15	6	5	5	2	2
32	2	15	3	4	6	0	3
33	0	16	19	5	6	3	1
34	3	16	13	5	2	2	2
35	4	17	10	5	6	0	3
36	0	17	16	5	6	2	4
37	3	17	7	3	6	0	4
38	1	18	1	3	7	1	2
39	1	19	5	5	4	1	1
40	4	19	18	5	5	0	1
41	2	20	8	4	7	3	1
42	4	20	1	8	4	0	3
43	0	21	18	8	6	3	3
44	4	21	3	3	6	3	3
45	2	21	8	5	7	2	3
46	4	22	14	3	5	0	3
47	0	22	3	6	5	3	4
48	2	23	4	4	2	3	1
49	2	24	18	2	2	1	3
50	0	24	1	7	6	1	4
-1
