KTS	S	FD	KD	FT
7	1	0	6	6
10	14	0	2	2
14	17	0	5	5
18	3	0	16	16
24	35	0	4	4
26	19	0	16	16
29	2	0	27	27
31	13	0	24	24
31	36	0	10	10
32	15	0	23	23
32	27	0	16	16
34	10	0	27	27
34	50	0	4	4
35	9	0	29	29
38	44	0	11	11
39	30	0	21	21
39	55	7	0	7
41	29	0	24	24
44	31	0	26	26
44	69	0	4	4
45	39	0	22	22
45	67	7	0	7
47	7	0	43	43
47	68	7	1	8
49	23	0	36	36
49	41	3	21	24
50	52	4	15	19
50	43	6	17	23
51	37	0	29	29
52	59	0	20	20
52	32	20	14	34
53	49	8	16	24
54	6	0	50	50
55	51	0	24	24
56	84	0	5	5
56	57	4	20	24
60	64	0	23	23
60	56	24	4	28
61	70	0	20	20
61	89	0	6	6
61	60	22	6	28
63	72	0	22	22
64	71	0	23	23
64	81	0	15	15
65	73	0	23	23
71	87	11	7	18
71	80	23	0	23
72	4	0	69	69
72	78	0	25	25
72	83	0	22	22
74	88	7	13	20
74	16	64	1	65
74	11	66	1	67
75	18	65	0	65
76	98	4	15	19
76	107	7	6	13
77	26	62	0	62
78	117	0	10	10
79	133	0	4	4
79	91	1	22	23
80	20	65	4	69
81	99	0	23	23
81	22	69	0	69
83	113	2	17	19
83	95	8	18	26
83	25	68	1	69
85	34	64	1	65
86	106	0	24	24
86	40	62	0	62
87	136	0	10	10
87	115	0	21	21
87	46	60	0	60
88	112	0	24	24
88	28	72	0	72
89	116	0	22	22
90	76	45	0	45
91	121	6	15	21
92	105	1	30	31
92	110	25	3	28
94	123	21	2	23
95	171	0	2	2
96	132	0	21	21
98	120	23	5	28
99	142	0	17	17
100	163	0	11	11
102	138	0	24	24
103	146	0	20	20
105	148	0	21	21
107	149	0	22	22
111	184	4	8	12
112	161	0	24	24
112	160	0	24	24
119	170	0	26	26
119	178	0	22	22
120	175	0	26	26
120	181	0	22	22
121	5	0	118	118
122	8	117	0	117
123	185	0	24	24
123	12	116	0	116
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
200  	200  	200  	200  	
R1_Distance	R2_Distance	R3_Distance	R4_Distanc
2		2		2		2		
Game Is Loss
Total Killed Enemies	= 100
Total Alive Enemies	= 100
Average Fight Delay	= 12.5
Average Kill Delay	= 0
