200	3	14
1	0.03	0.01
1	0	1	10	2	4	0	5
2	2	2	15	5	4	0	10
3	1	3	15	2	3	1	4
4	0	4	15	2	2	2	3
5	1	4	20	5	3	3	2
6	2	5	15	5	3	2	4
7	1	9	20	3	2	1	9
8	2	10	15	4	3	3	60
9	0	50	20	5	2	1	32
10	2	30	15	2	2	2	87
11	0	33	10	2	4	0	6
12	2	34	15	5	4	0	9
13	1	35	15	2	3	1	2
14	0	36	15	2	2	2	4
15	1	36	20	5	3	3	3
16	2	38	15	5	3	2	8
17	1	39	20	3	2	1	6
18	2	40	15	4	3	3	3
19	0	50	20	5	2	1	7
20	2	51	15	2	2	2	3
21	0	52	10	2	4	0	3
22	2	52	15	5	4	0	6
23	1	53	15	2	3	1	9
24	0	54	15	2	2	2	3
25	1	55	20	5	3	3	10
26	2	56	15	5	3	2	5
27	1	57	20	3	2	1	7
28	2	58	15	4	3	3	9
29	0	59	20	5	2	1	15
30	2	60	15	2	2	2	0
31	0	61	10	2	4	0	5
32	2	62	15	5	4	0	1
33	1	63	15	2	3	1	12
34	0	64	15	2	2	2	9
35	1	65	20	5	3	3	11
36	2	66	15	5	3	2	12
37	1	67	20	3	2	1	8
38	2	68	15	4	3	3	4
39	0	69	20	5	2	1	4
40	2	70	15	2	2	2	3
-1
