200	3	14
1	0.03	0.01
1	0	30	16	2	6	0
2	1	1	1	6	3	0
3	1	2	2	7	7	0
4	2	3	20	6	2	3
5	2	3	11	4	7	0
6	0	3	10	3	5	0
7	0	3	19	6	2	0
8	2	3	2	2	4	0
9	1	3	3	5	5	1
10	1	4	15	8	3	1
11	1	5	18	2	2	3
12	2	6	13	5	7	2
13	0	7	14	3	4	0
14	0	8	17	3	6	2
15	2	9	19	4	6	2
16	0	9	17	2	2	3
17	0	10	3	7	7	3
18	2	10	19	7	5	3
19	2	10	19	7	2	0
20	0	10	12	5	5	3
21	2	11	14	4	3	0
22	1	12	6	3	3	2
23	1	12	7	8	5	3
24	1	12	5	3	3	1
25	1	13	2	3	6	0
26	2	14	20	4	5	1
27	0	14	9	5	2	3
28	0	14	9	5	7	0
29	0	14	18	4	2	2
30	2	15	5	5	7	0
31	2	16	18	8	4	0
32	0	16	5	5	7	1
33	2	16	8	7	4	3
34	2	17	2	6	6	2
35	2	17	15	2	2	2
36	1	18	21	3	5	2
37	2	19	2	7	4	3
38	1	20	8	3	5	3
39	2	21	15	5	2	0
40	1	21	7	7	5	2
41	1	22	20	6	6	3
42	1	22	17	7	3	0
43	0	23	10	5	6	2
44	2	24	14	8	3	1
45	0	24	13	8	7	2
46	0	25	4	4	7	0
47	2	25	7	5	2	0
48	1	26	17	4	7	3
49	1	26	9	3	6	3
50	2	27	13	5	2	0
51	0	28	19	5	2	1
52	2	28	7	3	3	3
53	2	28	8	2	5	3
54	2	29	4	7	5	1
55	2	29	1	2	3	1
56	1	30	4	7	7	0
57	1	31	2	4	2	2
58	2	32	16	4	7	0
59	1	33	4	6	2	1
60	2	33	5	2	7	1
-1
