KTS	S	FD	KD	FT
5	2	3	1	4
14	9	5	6	11
18	8	4	11	15
32	34	6	9	15
50	5	7	40	47
55	54	5	21	26
57	33	4	37	41
60	55	3	28	31
61	12	7	48	55
63	30	7	41	48
63	37	4	40	44
64	21	3	50	53
66	19	2	54	56
66	4	2	61	63
66	18	5	51	56
69	15	6	54	60
69	11	2	62	64
70	14	6	56	62
71	22	3	56	59
72	35	2	53	55
72	16	2	61	63
73	29	2	57	59
73	17	7	56	63
75	31	4	55	59
75	20	5	60	65
76	44	3	49	52
76	40	5	50	55
76	23	5	59	64
77	60	7	37	44
77	36	5	54	59
78	47	2	51	53
78	43	6	49	55
78	27	2	62	64
79	39	2	56	58
79	57	2	46	48
79	52	3	48	51
80	3	7	71	78
80	26	5	61	66
80	10	3	73	76
80	38	5	55	60
81	24	3	66	69
81	45	7	50	57
81	53	5	48	53
82	6	5	74	79
82	32	7	59	66
82	41	6	54	60
84	59	2	49	51
84	48	7	51	58
84	49	6	52	58
85	50	2	56	58
85	7	2	80	82
85	51	2	55	57
86	25	6	67	73
87	13	4	76	80
88	28	7	67	74
89	46	7	57	64
90	42	3	65	68
91	58	7	52	59
91	56	7	54	61
92	1	6	56	62
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
96.2429	25.6605	18.1736	47.861	
R1_Distance	R2_Distance	R3_Distance	R4_Distanc
2	2	2	2	
Game Is Win
Total Enemies	= 60
Average Fight Delay	= 4.48333
Average Kill Delay	= 51.2833
